Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5, C6, C7",0402,6,100nF,C307331
C2,0402,1,4.7uF,C23733
"C8, C9",0402,2,1uF,C52923
"D10, D100, D102, D103, D104, D105, D12, D13, D14, D15, D16, D18, D19, D20, D21, D22, D24, D25, D26, D27, D28, D30, D31, D32, D33, D34, D36, D37, D38, D39, D40, D42, D43, D44, D58, D60, D61, D62, D63, D64, D66, D67, D68, D70, D72, D73, D74, D75, D76, D78, D79, D80, D81, D82, D84, D85, D86, D87, D88, D90, D91, D94, D97, D98, D99",D_SOD-123,65,~,C81598
J1,MOLEX_781710004_MountingReliefs,1,JST,C588524
"MX10, MX100, MX102, MX103, MX104, MX105, MX16, MX18, MX19, MX20, MX21, MX22, MX24, MX25, MX26, MX27, MX28, MX30, MX31, MX32, MX33, MX34, MX36, MX37, MX38, MX40, MX42, MX43, MX44, MX58, MX60, MX61, MX62, MX64, MX66, MX67, MX68, MX70, MX72, MX73, MX74, MX75, MX76, MX78, MX79, MX80, MX81, MX82, MX84, MX85, MX88, MX97, MX98, MX99",MXOnly-1U-Hotswap,54,MX-NoLED,
"MX12, MX15.15, MX21.15, MX81.15, MX87.15, MX90",MXOnly-1.5U-Hotswap,6,MX-NoLED,
MX13,MXOnly-1.75U-Hotswap-LED,1,MX-LED,
MX13.125,MXOnly-1.25U,1,MX-LED,
"MX14, MX85_2",MXOnly-2.25U-Hotswap,2,MX-NoLED,
"MX14.125, MX15, MX87, MX91",MXOnly-1.25U-Hotswap,4,MX-NoLED,
MX39,MXOnly-7U-Hotswap-ReversedStabilizers,1,MX-NoLED,
MX39.275,MXOnly-2.75U-Hotswap-ReversedStabilizers,1,MX-NoLED,
MX63,MXOnly-2.25U-Hotswap-ReversedStabilizers,1,MX-NoLED,
MX86,MXOnly-2.75U-Hotswap,1,MX-NoLED,
MX86.175,MXOnly-1.75U-Hotswap,1,MX-NoLED,
MX91.2,MXOnly-ISO-Hotswap,1,MX-NoLED,
MX94,MXOnly-1U-Hotswap-LED,1,MX-LED,
R1,0402,1,10k,C25744
"R2, R3",Resistor-Hybrid-Back,2,470,
"SW1, SW2",SW_SPST_SKQG_WithoutStem,2,RST,C318884
"SWR1, SWR2, SWR3",RotaryEncoder_EC11_Nonplated,3,RotaryEncoder_Switch,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8Tx,C80488
U2,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
