Designator,Mid X,Mid Y,Rotation,Layer
C1,418.49675,-129.032,270.0,bottom
C2,400.71675,-120.396,180.0,bottom
C3,400.71675,-119.253,180.0,bottom
C4,401.63375,-126.111,0.0,bottom
C5,406.81275,-135.89,180.0,bottom
C6,411.51175,-135.89,180.0,bottom
C7,413.67075,-133.223,270.0,bottom
C8,401.03425,-114.2365,0.0,bottom
C9,410.62275,-123.571,180.0,bottom
D10,161.925,-80.9625,90.0,bottom
D100,436.5625,-83.34375,90.0,bottom
D102,437.35625,-106.3625,90.0,bottom
D103,433.3875,-104.775,90.0,bottom
D104,437.35625,-164.30625,90.0,bottom
D105,433.3875,-161.925,90.0,bottom
D106,391.31875,-120.65,90.0,bottom
D12,166.6875,-104.775,90.0,bottom
D13,169.06875,-123.825,90.0,bottom
D14,167.48125,-148.43125,90.0,bottom
D15,167.48125,-157.95625,90.0,bottom
D16,190.5,-80.9625,90.0,bottom
D18,190.5,-104.774989,90.0,bottom
D19,195.2625,-123.825,90.0,bottom
D20,204.7875,-142.875,90.0,bottom
D21,200.025,-161.925,90.0,bottom
D22,209.55,-80.9625,90.0,bottom
D24,209.55,-104.774989,90.0,bottom
D25,214.3125,-123.825,90.0,bottom
D26,223.8375,-142.875,90.0,bottom
D27,219.075,-161.925,90.0,bottom
D28,228.6,-80.9625,90.0,bottom
D30,228.6,-104.774989,90.0,bottom
D31,233.3625,-123.825,90.0,bottom
D32,242.8875,-142.875,90.0,bottom
D33,186.53125,-149.225,90.0,bottom
D34,257.175,-80.9625,90.0,bottom
D36,247.65,-104.774989,90.0,bottom
D37,252.4125,-123.825,90.0,bottom
D38,261.9375,-142.875,90.0,bottom
D39,276.225,-161.925,90.0,bottom
D40,276.225,-80.9625,90.0,bottom
D42,266.7,-104.774989,90.0,bottom
D43,271.4625,-123.825,90.0,bottom
D44,280.9875,-142.875,90.0,bottom
D58,295.275,-80.9625,90.0,bottom
D60,285.75,-104.774989,90.0,bottom
D61,290.5125,-123.825,90.0,bottom
D62,300.0375,-142.875,90.0,bottom
D63,302.41875,-161.925,90.0,bottom
D64,323.85,-80.9625,90.0,bottom
D66,304.8,-104.774989,90.0,bottom
D67,309.5625,-123.825,90.0,bottom
D68,319.0875,-142.875,90.0,bottom
D70,342.9,-80.9625,90.0,bottom
D72,323.85,-104.774989,90.0,bottom
D73,328.6125,-123.825,90.0,bottom
D74,338.1375,-142.875,90.0,bottom
D75,333.375,-161.925,90.0,bottom
D76,361.95,-80.9625,90.0,bottom
D78,342.9,-104.774989,90.0,bottom
D79,347.6625,-123.825,90.0,bottom
D80,360.3625,-146.84375,90.0,bottom
D81,357.1875,-157.1625,90.0,bottom
D82,390.525,-80.9625,90.0,bottom
D84,361.95,-104.774989,90.0,bottom
D85,391.31875,-115.09375,90.0,bottom
D86,387.35,-136.525,90.0,bottom
D87,390.525,-159.54375,90.0,bottom
D88,415.13125,-80.9625,90.0,bottom
D90,368.3,-106.3625,90.0,bottom
D94,434.18125,-80.9625,90.0,bottom
D97,414.3375,-104.775,90.0,bottom
D98,433.3875,-142.875,90.0,bottom
D99,414.3375,-161.925,90.0,bottom
J1,392.1125,-95.43125,180.0,bottom
MX10,153.9875,-80.16875,0.0,top
MX100,444.5,-80.16875,0.0,top
MX102,444.5,-103.98125,0.0,top
MX103,425.45,-103.98125,0.0,top
MX104,444.5,-161.13125,0.0,top
MX105,425.45,-161.13125,0.0,top
MX106,380.20625,-123.03125,0.0,top
MX12,158.75,-103.98125,0.0,top
MX13,160.49625,-122.51575,0.0,top
MX13.125,156.36875,-122.945,0.0,top
MX14,165.89375,-142.081235,0.0,top
MX14.125,156.36875,-142.08125,180.0,top
MX15,156.36875,-161.13125,0.0,top
MX15.15,158.75,-161.13125,180.0,top
MX16,182.5625,-80.16875,0.0,top
MX18,182.5625,-103.98125,0.0,top
MX19,187.325,-123.03125,0.0,top
MX20,196.85,-142.08125,0.0,top
MX21,192.0875,-161.13125,0.0,top
MX21.15,182.5625,-161.13125,180.0,top
MX22,201.6125,-80.16875,0.0,top
MX24,201.6125,-103.98125,0.0,top
MX25,206.375,-123.03125,0.0,top
MX26,215.9,-142.08125,0.0,top
MX27,211.1375,-161.13125,0.0,top
MX28,220.6625,-80.16875,0.0,top
MX30,220.6625,-103.98125,0.0,top
MX31,225.425,-123.03125,0.0,top
MX32,234.95,-142.08125,0.0,top
MX33,177.8,-142.08125,180.0,top
MX34,249.2375,-80.16875,0.0,top
MX36,239.7125,-103.98125,0.0,top
MX37,244.475,-123.03125,0.0,top
MX38,254.0,-142.08125,0.0,top
MX39,268.2875,-161.13125,0.0,top
MX39.275,246.85625,-161.13125,0.0,top
MX40,268.2875,-80.16875,0.0,top
MX42,258.7625,-103.98125,0.0,top
MX43,263.525,-123.03125,0.0,top
MX44,273.05,-142.08125,0.0,top
MX58,287.3375,-80.16875,0.0,top
MX60,277.8125,-103.98125,0.0,top
MX61,282.575,-123.03125,0.0,top
MX62,292.1,-142.08125,0.0,top
MX63,294.48125,-161.13125,0.0,top
MX64,315.9125,-80.16875,0.0,top
MX66,296.8625,-103.98125,0.0,top
MX67,301.625,-123.03125,0.0,top
MX68,311.15,-142.08125,0.0,top
MX70,334.9625,-80.16875,0.0,top
MX72,315.9125,-103.98125,0.0,top
MX73,320.675,-123.03125,0.0,top
MX74,330.2,-142.08125,0.0,top
MX75,325.4375,-161.13125,0.0,top
MX76,354.0125,-80.16875,0.0,top
MX78,334.9625,-103.98125,0.0,top
MX79,339.725,-123.03125,0.0,top
MX80,349.25,-142.08125,180.0,top
MX81,344.4875,-161.13125,0.0,top
MX81.15,349.25,-161.13125,180.0,top
MX82,382.5875,-80.16875,0.0,top
MX84,354.0125,-103.98125,0.0,top
MX85,370.68125,-123.031237,0.0,top
MX85.2,381.0762,-113.50625,0.0,top
MX86,365.91875,-142.081235,0.0,top
MX86.175,375.44375,-142.08125,180.0,top
MX87,380.20625,-161.13125,0.0,top
MX87.15,377.825,-161.13125,180.0,top
MX88,406.4,-80.16875,0.0,top
MX90,377.825,-103.98125,0.0,top
MX90.1,358.775,-123.03125,180.0,top
MX94,424.815,-79.65325,0.0,top
MX97,406.4,-103.98125,0.0,top
MX98,425.45,-142.08125,0.0,top
MX99,406.4,-161.13125,0.0,top
R1,426.30725,-129.7305,0.0,bottom
R2,158.8135,-131.377107,0.0,top
R3,425.45,-91.252695,0.0,top
SW1,427.95825,-124.6505,90.0,bottom
SW2,422.11625,-124.6505,90.0,bottom
SWR1,406.4,-80.41875,90.0,top
SWR2,425.45,-80.41875,90.0,top
SWR3,444.5,-80.41875,90.0,top
U1,407.82875,-129.413,0.0,bottom
U2,400.84673,-116.71002,270.0,bottom
